小学校,中学校,区名,町名,区域,備考
博多小,博多中,博多区,中洲,1丁目～5丁目,
博多小,博多中,博多区,中洲中島町,全域,
博多小,博多中,博多区,上川端町,全域,
博多小,博多中,博多区,店屋町,全域,
博多小,博多中,博多区,冷泉町,全域,
博多小,博多中,博多区,祇園町,全域,
博多小,博多中,博多区,築港本町,全域,
博多小,博多中,博多区,神屋町,全域,
博多小,博多中,博多区,奈良屋町,全域,
博多小,博多中,博多区,綱場町,全域,
博多小,博多中,博多区,対馬小路,全域,
博多小,博多中,博多区,古門戸町,全域,
博多小,博多中,博多区,須崎町,全域,
博多小,博多中,博多区,下川端町,全域,
博多小,博多中,博多区,上呉服町,全域,
博多小,博多中,博多区,御供所町,全域,
博多小,博多中,博多区,博多駅前,1丁目4番～10番、11番(13号～18号)、12番(8号～17号)、23番(1号～24号、26号～終)、24番(6号～15号)、25番～31番,
博多小,博多中,博多区,石城町,全域,
博多小,博多中,博多区,大博町,全域,
博多小,博多中,博多区,中呉服町,全域,
博多小,博多中,博多区,下呉服町,全域,
博多小,博多中,博多区,沖浜町,全域,
箱崎小,箱崎中,東区,箱崎,1丁目～4丁目、5丁目1番～5番、6丁目1番～8番、11番～18番,
箱崎小,箱崎中,東区,箱崎ふ頭,1丁目、2丁目、4丁目～6丁目,
筥松小,箱崎清松中,東区,原田,1丁目、2丁目,
筥松小,箱崎清松中,東区,筥松新町,全域,
筥松小,箱崎清松中,東区,筥松,1丁目、2丁目、3丁目1番(1号～10号、26号～30号)、2番(1号～13号、27号～33号)、3番(4号),
筥松小,箱崎清松中,東区,社領,1丁目～3丁目,
筥松小,箱崎清松中,東区,二又瀬新町,全域,
筥松小,箱崎清松中,東区,二又瀬,全域,
筥松小,箱崎清松中,東区,郷口町,全域,
八田小,多々良中央中,東区,若宮,1丁目,
八田小,多々良中央中,東区,八田,1丁目～4丁目,
花畑小,柏原中,南区,中尾,3丁目12番～53番,
花畑小,柏原中,南区,花畑,1丁目、2丁目6番、7番(1号～13号、29号～37号)、8番～45番、3丁目、4丁目3番～4番、7番～12番,
花畑小,柏原中,南区,屋形原,4丁目8番(28号～36号、40号～55号)、9番～26番、5丁目6番(20号～31号)、7番(1号～4号、40号～65号)、8番～12番、13番(21号～24号)、14番,
花畑小,柏原中,南区,桧原,3丁目19番、26番,
花畑小,柏原中,南区,柏原,1丁目1番～11番、18番～25番、46番,
原小,原中央中,早良区,荒江,2丁目、3丁目（1丁目は城南区）,
原小,原中央中,早良区,原,1丁目、2丁目,
原北小,原北中,早良区,南庄,1丁目～4丁目(ただし、4丁目13番(室見団地)を除く…小田部小)、6丁目,
原西小,西福岡中,早良区,有田,1丁目～5丁目,
原西小,西福岡中,早良区,小田部,2丁目～4丁目,
原西小,西福岡中,早良区,原,5丁目、8丁目1番～20番、22番、23番、36番～40番(8丁目21番、24番～35番は賀茂小),
春住小,東住吉中,博多区,山王,1丁目、2丁目1番～5番(ただし、5番(27号)を除く･･･那珂小)、6番(35号),
春住小,東住吉中,博多区,博多駅南,"3丁目、4丁目、5丁目1番～5番、11番～19番、21番、27番～30番、6丁目8番 ※「5丁目6番～8番、10番、20番」は、春住小と那珂小に分かれるため、学校計画第1課・第2課へ照会のこと",
春吉小,春吉中,中央区,西中州,全域,春吉中校区は南区に玉川小校区、塩原小校区あり
春吉小,春吉中,中央区,春吉,1丁目～3丁目,
春吉小,春吉中,中央区,渡辺通,1丁目、3丁目、5丁目1番～16番、25番、26番,
春吉小,春吉中,中央区,清川,1丁目、2丁目1番～16番、19番、21番(1号～15号、26号～30号)、3丁目1番～5番、21番～24番、28番～33番,
春吉小,春吉中,中央区,高砂,1丁目1番～11番、17番～24番,
東住吉小,東住吉中,博多区,博多駅前,3丁目、4丁目,
東住吉小,東住吉中,博多区,博多駅南,1丁目、2丁目,
東月隈小,席田中,博多区,月隈,6丁目20番、21番,
東月隈小,席田中,博多区,大字下月隈,"52、58、61、64、72～74、78の各全部, 608の各一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
東月隈小,席田中,博多区,浦田,1丁目、2丁目,
東月隈小,席田中,博多区,東月隈,1丁目～4丁目、5丁目(ただし、37番(3号)、38番を除く・・・月隈小),
東月隈小,席田中,博多区,大字立花寺,170～173、176、177、179～187、259、263、267～274、287～299、303、320、496、497,
東箱崎小,箱崎中,東区,箱崎,5丁目6番～11番、6丁目9番、10番、19番、7丁目,
東箱崎小,箱崎中,東区,貝塚団地,全域,
東箱崎小,箱崎中,東区,箱崎ふ頭,3丁目,
東花畑小,花畑中,南区,中尾,1丁目、2丁目、3丁目1番～11番,
東花畑小,花畑中,南区,野多目,5丁目,
東花畑小,花畑中,南区,花畑,2丁目1番～5番、7番(14号～28号)、46番～54番,
東花畑小,花畑中,南区,屋形原,1丁目～3丁目、4丁目1番～7番、8番(1号～16号、37号、38号)、27番～39番、5丁目1番～5番、6番(1号～19号、32号)、7番(5号～39号)、13番(1号～20号、25号～終),
東花畑小,花畑中,南区,若久,6丁目55番、56番(12号～26号、30号～34号),
東吉塚小,吉塚中,博多区,吉塚,1丁目13番、15番～17番、2丁目1番～4番、4丁目3番～11番、5丁目1番～3番、6番～13番、6丁目～8丁目,
東吉塚小,吉塚中,博多区,吉塚本町,全域,
東吉塚小,吉塚中,博多区,東公園,1番～3番（ただし、3番(7号)を除く・・・千代小）,
東若久小,筑紫丘中,南区,柳河内,2丁目,
東若久小,筑紫丘中,南区,若久,1丁目23番、2丁目26番(12号～37号)、27番～40番、3丁目、5丁目、6丁目1番～54番、56番(1号～11号、27号～29号、35号～41号)、57番、58番、59番(11号～16号)、60番、61番(1号～14号、20号～31号)、62番(1号～7号、28号～30号)、63番～65番,
平尾小,平尾中,中央区,薬院,3丁目、4丁目,
平尾小,平尾中,中央区,平尾,1丁目～5丁目,
平尾小,平尾中,中央区,南公園,全域,
平尾小,平尾中,中央区,桜坂,3丁目1番～4番、5番(60号),
平尾小,平尾中,中央区,平尾浄水町,全域,
平尾小,平尾中,中央区,御所ヶ谷,全域,
平尾小,平尾中,中央区,浄水通,全域,
平尾小,平尾中,中央区,古小烏町,全域,
平尾小,平尾中,中央区,平丘町,全域,
平尾小,平尾中,中央区,薬院伊福町,全域,
平尾小,平尾中,中央区,山荘通,3丁目,
